"r";"nsd_id";"election_year";"start";"end";"cabinet_name";"last_name";"first_name";"party";"election_date";"cause";"reshuffle";"prime_minister";"gender";"education";"duration";"birth";"pre45_exp";"CabinetType";"structure";"From";"To";"cabinet_duration";"CabinetPartiesNor";"year_start";"year_end";"post";"resigcalls";"resigcalls_cum";"rc_cum_lag";"rc_opposition";"rc_paper";"rc_organization";"rc_party";"rc_expert";"rc_citizens";"rc_voteofconf";"parl_start";"parlTen_cum";"youthCen";"youthLoc";"minister_exp_cum_y_lag";"parlTen_dum";"start_year";"age";"age_cen";"pm_name";"education_dum";"dur_start";"dur_end";"leave";"event2";"jurisdiction";"rc_paper_dum";"rc_party_dum";"rc_organization_dum";"rc_opposition_dum";"timeint"
"1";11;1961;1963-09-25;1965-10-11;"Gerhardsen VII";"Andersen";"Magnus Kristoffersen";"DNA";"1961-09-11";"Not dismissed";"0";0;"Male";"High school";747;1916;0;"Minority";"Single-party";1963-09-25;1965-10-11;747;"Ap";1963;1965;"Fiskeriminister";0;0;0;0;0;0;0;0;0;0;"1961-10-01";0;0;0;0;0;1963;47;-2,16490166414523;"Gerhardsen";"Lower";0;747;0;0;"Sea and fish";0;0;0;0;2,88419254153021
"2";11;1969;1972-01-24;1972-10-17;"Bratteli I";"Andersen";"Magnus Kristoffersen";"DNA";"1969-09-08";"Not dismissed";"0";0;"Male";"High school";267;1916;0;"Minority";"Single-party";1971-03-17;1972-10-17;580;"Ap";1972;1972;"Fiskeriminister";0;0;0;0;0;0;0;0;0;0;"1969-10-01";2643;0;0;2,04517453798768;1;1972;56;6,83509833585477;"Bratteli";"Lower";313;580;0;0;"Sea and fish";0;0;0;0;3,26653761889081
"3";15;1977;1980-10-03;1981-02-03;"Nordli II";"Andreassen";"Harriet";"DNA";"1977-10-12";"Not dismissed";"0";0;"Female";"High school";123;1925;0;"Minority";"Single-party";1977-10-01;1981-02-03;1221;"Ap";1980;1981;"Kommunalminister";0;0;0;0;0;0;0;0;0;0;"1977-10-01";0;0;0;0;0;1980;55;5,83509833585477;"Nordli";"Lower";1098;1221;0;0;"Regional";0;0;0;0;3,55286135039919
"4";15;1977;1981-02-04;1981-10-13;"Brundtland I";"Andreassen";"Harriet";"DNA";"1977-10-12";"Not dismissed";"0";0;"Female";"High school";251;1925;0;"Minority";"Single-party";1981-02-04;1981-10-13;251;"Ap";1981;1981;"Kommunalminister";0;0;0;0;0;0;0;0;0;0;"1977-10-01";0;0;0;0,336755646817248;0;1981;56;6,83509833585477;"Brundtland";"Lower";0;251;0;0;"Regional";0;0;0;0;3,56253834178789
"5";20;1997;1997-10-17;2000-01-21;"Bondevik I";"Angelsen";"Peter";"Sp";"1997-09-15";"Unknown";"0";0;"Male";"High school";826;1935;0;"Minority";"Coalition";1997-10-17;2000-03-16;881;"KrF+Sp+V";1997;2000;"Fiskeriminister";0;0;0;0;0;0;0;0;0;0;"1997-10-01";0;0;0;0;0;1997;62;12,8350983358548;"Bondevik";"Lower";0;826;0;1;"Sea and fish";0;0;0;0;3,95029555163302
"6";29;1973;1973-10-16;1976-01-14;"Bratteli II";"Aune";"Leif Jørgen";"DNA";"1973-10-10";"Not dismissed";"0";0;"Male";"Higher education";820;1925;0;"Minority";"Single-party";1973-10-16;1976-01-14;820;"Ap";1973;1976;"Kommunalminister";0;0;0;0;0;0;0;0;0;0;"1973-10-01";0;0;0;0;0;1973;48;-1,16490166414523;"Bratteli";"Higher";0;820;0;0;"Regional";0;0;0;0;3,33034495495376
"7";29;1973;1976-01-15;1977-09-30;"Nordli I";"Aune";"Leif Jørgen";"DNA";"1973-10-10";"Not dismissed";"0";0;"Male";"Higher education";624;1925;0;"Minority";"Single-party";1976-01-15;1977-09-30;624;"Ap";1976;1977;"Kommunalminister";0;0;0;0;0;0;0;0;0;0;"1973-10-01";0;0;0;2,24503764544832;0;1976;51;1,83509833585477;"Nordli";"Higher";0;624;0;0;"Regional";0;0;0;0;3,40770139567534
"8";29;1977;1977-10-01;1978-01-11;"Nordli II";"Aune";"Leif Jørgen";"DNA";"1977-10-12";"Unkown";"0";0;"Male";"Higher education";102;1925;0;"Minority";"Single-party";1977-10-01;1981-02-03;1221;"Ap";1977;1978;"Kommunalminister";0;0;0;0;0;0;0;0;0;0;"1977-10-01";0;0;0;3,95345653661875;0;1977;52;2,83509833585477;"Nordli";"Higher";0;102;0;1;"Regional";0;0;0;0;3,46282269707221
"9";31;1981;1981-10-14;1983-06-07;"Willoch I";"Austad";"Tore";"H";"1981-10-14";"Not dismissed";"0";0;"Male";"Higher education";601;1935;0;"Minority";"Single-party";1981-10-14;1983-06-07;601;"H";1981;1983;"Kirke- og undervisningsminister";1;1;0;1;0;0;0;0;0;0;"1981-10-01";2320;0;0;0;1;1981;46;-3,16490166414523;"Willoch";"Higher";0;601;0;0;"Education";0;0;0;1;3,58192058213912
"10";32;1969;1972-10-18;1973-10-15;"Korvald I";"Austrheim";"John";"Sp";"1969-09-08";"Not dismissed";"0";0;"Male";"Secondary school";362;1912;0;"Minority";"Coalition";1972-10-18;1973-10-15;362;"KrF+Sp+V";1972;1973;"Samferdselsminister";0;0;0;0;0;0;0;0;0;0;"1969-10-01";4036;0;0;0;1;1972;60;10,8350983358548;"Korvald";"Lower";0;362;0;0;"Transport";0;0;0;0;3,29413694044242
"11";34;1973;1976-01-15;1977-09-30;"Nordli I";"Bakke";"Hallvard";"DNA";"1973-10-10";"Not dismissed";"0";0;"Male";"Higher education";624;1943;0;"Minority";"Single-party";1976-01-15;1977-09-30;624;"Ap";1976;1977;"Handelsminister";0;0;0;0;0;0;0;0;0;0;"1973-10-01";0;0;0;0;0;1976;33;-16,1649016641452;"Nordli";"Higher";0;624;0;0;"Trade";0;0;0;0;3,40770139567534
"12";34;1977;1977-10-01;1979-10-08;"Nordli II";"Bakke";"Hallvard";"DNA";"1977-10-12";"Unkown";"0";0;"Male";"Higher education";737;1943;0;"Minority";"Single-party";1977-10-01;1981-02-03;1221;"Ap";1977;1979;"Handelsminister";0;0;0;0;0;0;0;0;0;0;"1977-10-01";723;0;1;1,70841889117043;1;1977;34;-15,1649016641452;"Nordli";"Higher";0;737;0;1;"Trade";0;0;0;0;3,46282269707221
"13";34;1985;1986-05-09;1989-10-15;"Brundtland II";"Bakke";"Hallvard";"DNA";"1985-09-09";"Not dismissed";"0";0;"Male";"Higher education";1255;1943;0;"Minority";"Single-party";1986-05-09;1989-10-15;1255;"Ap";1986;1989;"Kulturminister";3;3;0;3;0;0;0;0;0;0;"1985-10-01";2404;0;1;3,72621492128679;1;1986;43;-6,16490166414523;"Brundtland";"Higher";0;1255;0;0;"Culture";0;0;0;1;3,70153010232154
"14";35;1985;1986-05-09;1988-06-13;"Brundtland II";"Bakken";"Anne-Lise";"DNA";"1985-09-09";"Vote of non-confidence";"0";0;"Female";"Higher education";766;1952;0;"Minority";"Single-party";1986-05-09;1989-10-15;1255;"Ap";1986;1988;"Forbruker- og administrasjonsminister";4;4;0;1;2;0;1;0;0;0;"1985-10-01";3617;1;1;0;1;1986;34;-15,1649016641452;"Brundtland";"Higher";0;766;0;1;"Administration";1;1;0;1;3,70153010232154
"15";48;1985;1986-05-09;1989-10-15;"Brundtland II";"Berge";"Gunnar";"DNA";"1985-09-09";"Not dismissed";"0";0;"Male";"High school";1255;1940;0;"Minority";"Single-party";1986-05-09;1989-10-15;1255;"Ap";1986;1989;"Finansminister";1;1;0;0;1;0;0;0;0;0;"1985-10-01";6064;0;1;0;1;1986;46;-3,16490166414523;"Brundtland";"Lower";0;1255;0;0;"Finance";1;0;0;0;3,70153010232154
"16";48;1989;1992-09-04;1993-09-30;"Brundtland III";"Berge";"Gunnar";"DNA";"1989-09-11";"Not dismissed";"0";0;"Male";"High school";391;1940;0;"Minority";"Single-party";1990-11-03;1993-09-30;1062;"Ap";1992;1993;"Kommunalminister";1;2;1;0;0;0;0;1;0;0;"1989-10-01";7118;0;1;3,43600273785079;1;1992;52;2,83509833585477;"Brundtland";"Lower";671;1062;0;0;"Regional";0;0;0;0;3,84660250750992
