"";"nsd_id";"last_name";"first_name";"start";"end";"rc_source";"rc_desc";"rc_from";"rc_date";"dismis_note";"extra_note";"post";"X"
"1";95;"Brofoss";"Erik";"1945-11-05";"1947-12-06";"http://web.retriever-info.com/services/archive/displayPDF?documentId=05501619470624AR00105&serviceId=2";"Speculations over his dismissal after resent struggles with parliament";"Newspaper";"1947-06-24";"";"";"Finansminister";NA
"2";122;"Carlsen";"Reidar";"1945-11-05";"1950-01-10";"http://web.retriever-info.com/services/archive/displayPDF?documentId=05501619470624AR00105&serviceId=2";"An implisit call for Carlsen's resignation because he stands weak within the party";"Newspaper";"1947-06-24";"";"";"Fiskeriminister";NA
"3";122;"Carlsen";"Reidar";"1945-11-05";"1950-01-10";"http://web.retriever-info.com/services/archive/displayPDF?documentId=05501619480305AR00203&serviceId=2";"Carlsen is described as a weak minister, and a call for dismissal is placed";"Newspaper";"1948-03-05";"";"";"Fiskeriminister";NA
"4";177;"Evensen";"Lars Samuel Myhrer";"1945-11-05";"1947-12-06";"http://web.retriever-info.com/services/archive/displayPDF?documentId=05501619470624AR00105&serviceId=2";"Speculations over his dismissal after resent struggles with parliament";"Newspaper";"1947-06-24";"";"";"Handelsminister";NA
"5";190;"Fjeld";"Kristian";"1945-11-05";"1947-12-06";"http://web.retriever-info.com/services/archive/displayPDF?documentId=05501619471106AR00202&serviceId=2";"States that it is understandable that Fjeld was considering his position leading to his leave of absence";"Newspaper";"1947-11-06";"";"";"Landbruksminister";NA
"6";210;"Fostervoll";"Kaare";"1945-11-05";"1948-06-28";NA;NA;NA;NA;"";"";"Kirke- og undervisningsminister";NA
"7";228;"Gerhardsen";"Einar Henry";"1945-11-05";"1950-01-10";NA;NA;NA;NA;"";"";"Statsminister";NA
"8";260;"Gundersen";"Oscar Christian";"1945-11-05";"1950-01-10";NA;NA;NA;NA;"";"";"Justisminister";NA
"9";299;"Hauge";"Jens Christian";"1945-11-05";"1950-01-10";"http://web.retriever-info.com/services/archive/displayPDF?documentId=05501619460823AR00202&serviceId=2";"According to VG, two editor articles in ""Arbeiderbladet"" asks for Hauge's resignation because of military dissatisfaction with him as leader.";"Newspaper";"1946-08-23";"";"";"Forsvarsminister";NA
"10";299;"Hauge";"Jens Christian";"1945-11-05";"1950-01-10";"http://web.retriever-info.com/services/archive/displayPDF?documentId=05501619470618AR01000&serviceId=2";"MP Utheim with a statement in parliament that Hauge might be met with ""more than words"" for his incorrect dispositions";"Opposition";"1947-06-18";"";"";"Forsvarsminister";NA
"11";299;"Hauge";"Jens Christian";"1945-11-05";"1950-01-10";"http://web.retriever-info.com/services/archive/displayPDF?method=&pdfUrl=%2FproxyTest%2F%3Fid%3D055016194711211iO3oJ2nsdaw37AKVv4xrPRX10020101010a%26x%3D7f007c47ea00fdc263eb080cb796b655&documentId=05501619471121AR00700&serviceId=2&pdf.doResize=false";"Several MPs argue that Hauge is responsible for a series of thefts at military facilities";"Opposition";"1947-11-21";"";"";"Forsvarsminister";NA
"12";299;"Hauge";"Jens Christian";"1945-11-05";"1950-01-10";"http://web.retriever-info.com/services/archive/displayPDF?documentId=05501619480305AR00203&serviceId=2";"No thourogh description. It just states that Hauge is ""unsavable""";"Newspaper";"1948-03-05";"";"";"Forsvarsminister";NA
"13";299;"Hauge";"Jens Christian";"1945-11-05";"1950-01-10";"http://web.retriever-info.com/services/archive/displayPDF?method=&pdfUrl=%2FproxyTest%2F%3Fid%3D055016194806072Zxfgg1GA04x0DLAp24dgn0E100201010408%26x%3D9aa3113d5285f2fe530016c0f0e4146d&documentId=05501619480607AR00403&serviceId=2&pdf.doResize=false";"After the dismissal of the military chief, the paper says it is likely that Hauge will fall with him. Also, the characterise him as unpopular within the military and so on";"Newspaper";"1948-06-07";"";"";"Forsvarsminister";NA
"14";299;"Hauge";"Jens Christian";"1945-11-05";"1950-01-10";"http://web.retriever-info.com/services/archive/displayPDF?documentId=05501619480615AR00100&serviceId=2";"Three generals leaves post as a protest against Hauge";"Organization";"1948-06-15";"";"";"Forsvarsminister";NA
"15";299;"Hauge";"Jens Christian";"1945-11-05";"1950-01-10";"http://web.retriever-info.com/services/archive/displayPDF?documentId=05501619480622AR00104&serviceId=2";"It is reported that the opposition has silently gathered to discuss Hauges dismissal in the Helset-canse";"Opposition";"1948-06-22";"";"";"Forsvarsminister";NA
"16";299;"Hauge";"Jens Christian";"1945-11-05";"1950-01-10";"http://web.retriever-info.com/services/archive/displayPDF?documentId=05501619470624AR00105&serviceId=2";"Speculations over his dismissal after resent struggles with parliament";"Newspaper";"1947-06-24";"";"";"Forsvarsminister";NA
"17";299;"Hauge";"Jens Christian";"1945-11-05";"1950-01-10";"http://web.retriever-info.com/services/archive/displayPDF?documentId=05501619480625AR00200&serviceId=2";"A gathered oposition calls for Hauge's resignation after the ""Helset-scandal"" through a vote of non-confidence";"Opposition";"1948-06-25";"";"";"Forsvarsminister";NA
"18";299;"Hauge";"Jens Christian";"1945-11-05";"1950-01-10";"http://web.retriever-info.com/services/archive/displayPDF?documentId=05501619481112AR00202&serviceId=2";"All the major newspapers are reported to demand Hauges dismissal for the handling of the ""Helset-scandal""";"Newspaper";"1948-11-12";"";"";"Forsvarsminister";NA
"19";299;"Hauge";"Jens Christian";"1945-11-05";"1950-01-10";"http://web.retriever-info.com/services/archive/displayPDF?documentId=05501619481125AR00400&serviceId=2";"Hambro demands Hauges dismissal to stabalize the situation of the military";"Opposition";"1948-11-25";"";"";"Forsvarsminister";NA
"20";342;"Holt";"Peder Ragnar";"1945-11-05";"1948-06-30";NA;NA;NA;NA;"Asked for own dismissal because his job as recovery minister was done";"";"Minister for gjenoppbygning av Finnmark";NA
"21";465;"Langhelle";"Nils";"1945-11-05";"1946-12-22";NA;NA;NA;NA;"";"";"Arbeidsminister";NA
"22";483;"Lie";"Trygve Halvdan";"1945-11-05";"1946-02-02";NA;NA;NA;NA;"Asked for his own dismissal after beeing appointed as general secretary (UN)";"";"Utenriksminister";NA
